OBJECTID,lat,long,dtg,user_name,user_id,text
1,39.274819,-76.608696,Mon Apr 27 23:00:57 +0000 2015,PandaMc8,388008073,WTFFFFFF https://t.co/2DT5PxqOc2
2,39.292146,-76.5678253,Mon Apr 27 23:01:15 +0000 2015,okaykerra,351905882,"Pretty Rick been everywhere and ain't been ain't been touched east , west ,south he been everywhere !!"
3,39.293876,-76.6823654,Mon Apr 27 23:01:41 +0000 2015,letgoletkarma,44980936,I'm filing exempt tomorrow
4,39.309108,-76.6660538,Mon Apr 27 23:01:47 +0000 2015,PrettyMoee,265631374,I got endless videos
5,39.281066,-76.6316223,Mon Apr 27 23:02:05 +0000 2015,khyona_,2157380277,Omg they mace the man 
6,39.281348,-76.6228409,Mon Apr 27 23:02:06 +0000 2015,lizbreaux,32687263,"@EternalWeather1 yes, thanks for checking. Just left the hotel and everything is quiet on the Inner Harbor."
7,39.317959,-76.5975266,Mon Apr 27 23:02:20 +0000 2015,LaySoSilly_,497954395,Wish I had someone to text or talk to 
8,39.283331,-76.6839905,Mon Apr 27 23:02:23 +0000 2015,1rockstarjay,133151785,T      '        !
9,39.273615,-76.6896591,Mon Apr 27 23:02:32 +0000 2015,mmccxxii,1636983943,why county schools getting out early ?
10,39.321848,-76.595459,Mon Apr 27 23:02:42 +0000 2015,latisha_92,477367089,@TrinaBraxton Please Pray For Baltimore
11,39.359456,-76.5720978,Mon Apr 27 23:03:03 +0000 2015,HotBoy_Gotti,2167487631,@im_taedoe_bitch I'm bringing it tomar bro I fell asleep my bad
12,39.321974,-76.5955734,Mon Apr 27 23:03:25 +0000 2015,latisha_92,477367089,@towandabraxton Please Pray For Baltimore
13,39.309159,-76.6658096,Mon Apr 27 23:03:40 +0000 2015,PrettyMoee,265631374,It's CARZY how nobody called to check up on me smh
14,39.261261,-76.6314926,Mon Apr 27 23:03:56 +0000 2015,HousingWatchMD,19201793,I wonder how many business owners are going to not rebuild after this and how many will leave because of this.
15,39.261261,-76.6314926,Mon Apr 27 23:04:39 +0000 2015,HousingWatchMD,19201793,"When I think of the jobs that could be lost because of this, it sickens me."
16,39.283347,-76.68396,Mon Apr 27 23:04:41 +0000 2015,1rockstarjay,133151785,T    ! &amp; 
17,39.261261,-76.6314926,Mon Apr 27 23:05:51 +0000 2015,HousingWatchMD,19201793,"@mbta535 @JacobGaffney @mike_ciklin @Fanniegate101 @aspit Yes I really am sorry, the national guard is coming and the city is burning."
18,39.334248,-76.6799774,Mon Apr 27 23:05:53 +0000 2015,loving_briaa,420610270,Damn they in the hair store 
